font variant,unicode,source x,source y,width,height
32x32,33,0,0,32,32
32x32,34,32,0,32,32
32x32,35,64,0,32,32
32x32,36,96,0,32,32
32x32,37,128,0,32,32
32x32,38,160,0,32,32
32x32,39,192,0,32,32
32x32,40,224,0,32,32
32x32,41,256,0,32,32
32x32,42,288,0,32,32
32x32,43,320,0,32,32
32x32,44,352,0,32,32
32x32,45,384,0,32,32
32x32,46,416,0,32,32
32x32,47,448,0,32,32
32x32,48,480,0,32,32
32x32,49,0,32,32,32
32x32,50,32,32,32,32
32x32,51,64,32,32,32
32x32,52,96,32,32,32
32x32,53,128,32,32,32
32x32,54,160,32,32,32
32x32,55,192,32,32,32
32x32,56,224,32,32,32
32x32,57,256,32,32,32
32x32,58,288,32,32,32
32x32,59,320,32,32,32
32x32,60,352,32,32,32
32x32,61,384,32,32,32
32x32,62,416,32,32,32
32x32,63,448,32,32,32
32x32,64,480,32,32,32
32x32,65,0,64,32,32
32x32,66,32,64,32,32
32x32,67,64,64,32,32
32x32,68,96,64,32,32
32x32,69,128,64,32,32
32x32,70,160,64,32,32
32x32,71,192,64,32,32
32x32,72,224,64,32,32
32x32,73,256,64,32,32
32x32,74,288,64,32,32
32x32,75,320,64,32,32
32x32,76,352,64,32,32
32x32,77,384,64,32,32
32x32,78,416,64,32,32
32x32,79,448,64,32,32
32x32,80,480,64,32,32
32x32,81,0,96,32,32
32x32,82,32,96,32,32
32x32,83,64,96,32,32
32x32,84,96,96,32,32
32x32,85,128,96,32,32
32x32,86,160,96,32,32
32x32,87,192,96,32,32
32x32,88,224,96,32,32
32x32,89,256,96,32,32
32x32,90,288,96,32,32
32x32,91,320,96,32,32
32x32,92,352,96,32,32
32x32,93,384,96,32,32
32x32,94,416,96,32,32
32x32,95,448,96,32,32
32x32,96,480,96,32,32
32x32,97,0,128,32,32
32x32,98,32,128,32,32
32x32,99,64,128,32,32
32x32,100,96,128,32,32
32x32,101,128,128,32,32
32x32,102,160,128,32,32
32x32,103,192,128,32,32
32x32,104,224,128,32,32
32x32,105,256,128,32,32
32x32,106,288,128,32,32
32x32,107,320,128,32,32
32x32,108,352,128,32,32
32x32,109,384,128,32,32
32x32,110,416,128,32,32
32x32,111,448,128,32,32
32x32,112,480,128,32,32
32x32,113,0,160,32,32
32x32,114,32,160,32,32
32x32,115,64,160,32,32
32x32,116,96,160,32,32
32x32,117,128,160,32,32
32x32,118,160,160,32,32
32x32,119,192,160,32,32
32x32,120,224,160,32,32
32x32,121,256,160,32,32
32x32,122,288,160,32,32
32x32,123,320,160,32,32
32x32,124,352,160,32,32
32x32,125,384,160,32,32
32x32,126,416,160,32,32
32x32,32,448,160,32,32
Vx32,33,480,160,12,32
Vx32,34,0,192,32,32
Vx32,35,32,192,36,32
Vx32,36,68,192,32,32
Vx32,37,100,192,28,32
Vx32,38,128,192,32,32
Vx32,39,160,192,16,32
Vx32,40,176,192,24,32
Vx32,41,200,192,24,32
Vx32,42,224,192,32,32
Vx32,43,256,192,36,32
Vx32,44,292,192,20,32
Vx32,45,312,192,32,32
Vx32,46,344,192,12,32
Vx32,47,356,192,28,32
Vx32,48,384,192,28,32
Vx32,49,412,192,20,32
Vx32,50,432,192,24,32
Vx32,51,456,192,24,32
Vx32,52,480,192,28,32
Vx32,53,0,224,24,32
Vx32,54,24,224,28,32
Vx32,55,52,224,28,32
Vx32,56,80,224,28,32
Vx32,57,108,224,28,32
Vx32,58,136,224,20,32
Vx32,59,156,224,16,32
Vx32,60,172,224,28,32
Vx32,61,200,224,28,32
Vx32,62,228,224,28,32
Vx32,63,256,224,28,32
Vx32,64,284,224,32,32
Vx32,65,316,224,32,32
Vx32,66,348,224,32,32
Vx32,67,380,224,32,32
Vx32,68,412,224,32,32
Vx32,69,444,224,32,32
Vx32,70,476,224,32,32
Vx32,71,0,256,32,32
Vx32,72,32,256,32,32
Vx32,73,64,256,20,32
Vx32,74,84,256,28,32
Vx32,75,112,256,32,32
Vx32,76,144,256,32,32
Vx32,77,176,256,36,32
Vx32,78,212,256,32,32
Vx32,79,244,256,32,32
Vx32,80,276,256,32,32
Vx32,81,308,256,32,32
Vx32,82,340,256,32,32
Vx32,83,372,256,32,32
Vx32,84,404,256,32,32
Vx32,85,436,256,32,32
Vx32,86,468,256,32,32
Vx32,87,0,288,36,32
Vx32,88,36,288,32,32
Vx32,89,68,288,32,32
Vx32,90,100,288,32,32
Vx32,91,132,288,24,32
Vx32,92,156,288,28,32
Vx32,93,184,288,24,32
Vx32,94,208,288,32,32
Vx32,95,240,288,32,32
Vx32,96,272,288,20,32
Vx32,97,292,288,28,32
Vx32,98,320,288,28,32
Vx32,99,348,288,28,32
Vx32,100,376,288,28,32
Vx32,101,404,288,28,32
Vx32,102,432,288,24,32
Vx32,103,456,288,32,32
Vx32,104,0,320,28,32
Vx32,105,28,320,20,32
Vx32,106,48,320,24,32
Vx32,107,72,320,28,32
Vx32,108,100,320,24,32
Vx32,109,124,320,36,32
Vx32,110,160,320,32,32
Vx32,111,192,320,28,32
Vx32,112,220,320,28,32
Vx32,113,248,320,28,32
Vx32,114,276,320,32,32
Vx32,115,308,320,32,32
Vx32,116,340,320,28,32
Vx32,117,368,320,32,32
Vx32,118,400,320,32,32
Vx32,119,432,320,36,32
Vx32,120,468,320,36,32
Vx32,121,0,352,32,32
Vx32,122,32,352,32,32
Vx32,123,64,352,28,32
Vx32,124,92,352,12,32
Vx32,125,104,352,28,32
Vx32,126,132,352,28,32
Vx32,32,160,352,24,32
